,Sygnatura czasowa,Kod badanego,Testowany interfejs,1. Chciałbym często używać tego sposobu kontroli odtwarzania filmu,2. Używanie tego sposobu było niepotrzebnie skomplikowane,3. Używanie tego sposobu nie sprawiało mi problemów (było łatwe),"4. Potrzebował bym pomocy osoby ""technicznej"", aby używać tego sposobu kontroli.","5. Poszczególne elementy kontroli były łatwo dostępne, tworzyły spójną całość.",6. Poszczególne elementy sposobu kontroli nie były ze sobą zgodne (nie tworzyły spójnej całości),"7. Uważam, że każdy może bardzo szybko nauczyć się używać tego sposobu kontroli odtwarzani filmu.","8. Sposób był ""nieporęczny"", niewygodny.",9. Czułem się pewnie używając tego sposobu kontroli odtwarzania. Jego działanie było przewidywalne i zgodne z intuicją.,"10. Musiałem nauczyć się sporo nowych rzeczy, aby móc używać tego sposobu kontroli odtwarzania filmu.",Jakie elementy najbardziej przeszkadzały Ci w używaniu tego sposobu?,Jakie elementy były dobrze zaprojektowane (nie sprawiały kłopotów albo były przydatne)?,"Co można byłoby zmienić w tym sposobie kontroli odtwarzania filmu, aby go poprawić?"
0,2019-05-09 08:38:33,sub-07,Przyciski wzrokowe,raczej się nie zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania,zdecydowanie się zgadzam,raczej się nie zgadzam,Opóźnienie związane z odczytywaniem ruchu gałek,"Duże, przejrzyste przyciski oraz ich rozmieszczenie na ekranie.","Brakuje przycisku blokady interfejsu, dzięki któremu będziemy bez niepotrzebnych akcji oglądać film. "
1,2019-05-09 08:57:25,sub-07,Obszary aktywowane spojrzeniem,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,"Przęłączanie się między trybami, opóźnienie związane z przejściem do innego interfejsu, brak osobno przycisku play i stop, brak blokady interfejsu oraz możliwośći oglądania filmu w pełnym ekranie.","Duże, widoczne przyciski, prosta lista filmów do wyboru.","Dodać przycisk blokady interfejsu, wprowadzenie podziału przycisków play i stop, tryb pełnoekranowy, lepsze zorganizowanie dwóch interfejsów."
2,2019-05-09 09:28:57,sub-07,Obszary aktywowane przemieszczeniem spojrzenia,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,nie mam zdania,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,nie mam zdania,"Niejasne zasady działania, brak reakcji programu na wykonywane zgodnie z instrukcją ruchy.","Interfejs stop/play, lista filmów.","Poprawne rejestrowanie wzrosku, inne zasady działania związane z kontrolą odtwarzania filmu, jaśniejsze zasady obsługi."
3,2019-05-11 08:46:31,sub-15,Obszary aktywowane spojrzeniem,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania,nie mam zdania,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,"malo czytelne kontrolki od przewijania filmu, pozcja kursora nie pokrywala sie z pozycja wzroku,  zmiana glosnosci niezbyt intuicyjna","wznawianie/zatrzymanie filmu, wypelniajacy sie obszar wokół kursora, ","zwiekszyłbym ikony po zatrzymaniu filmu, kontrolki glosnosci powinny byc jeszcze bardziej intuicyjne(duża strzałka w góre/dół przy głośniku[?]) i blizej siebie, aby bylo wiadomo ze ten obszar odpowiada za glosnosc, przewijanie filmu to jakies dwa oddzielne guziki, moze pod samym player'em (dwie strzalki w lewo/prawo [?] >>/<<)"
4,2019-05-11 09:03:19,sub-15,Przyciski wzrokowe,nie mam zdania,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,pozycja kursora nie zgrywała się z pozycją wzroku,"przyciski byly intuicyjne, obszar wypelniajacy sie wokol kursora byl w porządku",wedlug mnie jest dobry
5,2019-05-11 09:25:59,sub-15,Obszary aktywowane przemieszczeniem spojrzenia,nie mam zdania,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania,nie mam zdania,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,"brak konsekwencji w uzywaniu przycisków - jezeli jakies aktywujemy ""kątem"" to wydaje mi się, że wszystkie przyciski powinny tak działać, a nie tylko niektóre",sam pomysl z najezdzaniem i wyjezdzaniem jest bardzo dobry,"zachować konsekwencje w aktywacji przycisków, przyciski od przewijania powinny tworzyc calosc (>> / <<)"
6,2019-05-11 10:28:24,sub-01,Przyciski wzrokowe,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,"System nie funkcjonuje w pełni płynnie, momentami zacina się.",Metody odpowiadające za wykonywanie poleceń. ,Płynność działania. 
7,2019-05-11 10:58:27,sub-01,Obszary aktywowane spojrzeniem,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,zdecydowanie się zgadzam,zdecydowanie nie zgadzam się,Przycisk enable gaze control jest zbyteczny.,Obsługa potrzebnych funkcji,Płynność działania
8,2019-05-11 11:29:46,sub-01,Obszary aktywowane przemieszczeniem spojrzenia,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,Zbytnie skomplikowanie sposobu obsługi,Umieszczenie obszarów,Płynność działania
9,2019-05-12 10:07:23,sub-09,Obszary aktywowane spojrzeniem,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie nie zgadzam się,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,nie mam zdania,raczej się nie zgadzam,"niewidoczny ""przycisk"" do przewijania do tyłu","zatrzymywanie, przewijanie listy ","zlikwidowanie paska pokazującego stan przewijania, głośności"
