,Sygnatura czasowa,Kod badanego,Pod względem intuicyjności (wybierz po jednej odpowiedzi w każdej kolumnie) [Przyciski wzrokowe],Pod względem intuicyjności (wybierz po jednej odpowiedzi w każdej kolumnie) [Obszary aktywowane spojrzeniem],Pod względem intuicyjności (wybierz po jednej odpowiedzi w każdej kolumnie) [Obszary aktywowane przemieszczeniem spojrzenia],Pod względem wygody używania (wybierz po jednej odpowiedzi w każdej kolumnie) [Przyciski wzrokowe],Pod względem wygody używania (wybierz po jednej odpowiedzi w każdej kolumnie) [Obszary aktywowane spojrzeniem],Pod względem wygody używania (wybierz po jednej odpowiedzi w każdej kolumnie) [Obszary aktywowane przemieszczeniem spojrzenia],Pod względem pewności (wybierz po jednej odpowiedzi w każdej kolumnie) [Przyciski wzrokowe],Pod względem pewności (wybierz po jednej odpowiedzi w każdej kolumnie) [Obszary aktywowane spojrzeniem],Pod względem pewności (wybierz po jednej odpowiedzi w każdej kolumnie) [Obszary aktywowane przemieszczeniem spojrzenia],Uwagi ogólne
0,2019-05-09 11:30:53,sub-07,Pomiędzy,Najbardziej intuicyjne,Najmniej intuicyjne,Najwygodniejsza,Pomiędzy,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,
1,2019-05-11 11:28:40,sub-15,Najbardziej intuicyjne,Najmniej intuicyjne,Pomiędzy,Pomiędzy,Najmniej wygodna,Najwygodniejsza,Pomiędzy,Najmniej niezawodna,Najbardziej niezawodna,
2,2019-05-11 13:30:57,sub-01,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najwygodniejsza,Pomiędzy,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,
3,2019-05-12 13:12:30,sub-09,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najwygodniejsza,Pomiędzy,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,"dodanie opcji wstecz, usunięcie paska wartości głośności i przewijania, wybieranie filmu powinno zajmować dłuższy czas (łatwo wybrać film przez pomyłkę), powiększenie przycisków do przewijania listy"
4,2019-05-17 19:00:16,sub-02,Pomiędzy,Najbardziej intuicyjne,Najmniej intuicyjne,Pomiędzy,Najwygodniejsza,Najmniej wygodna,Najmniej niezawodna,Najbardziej niezawodna,Pomiędzy,"nie moglam przeczytac tytulow, obszary aktywowane - nie widac lewego kursora ladowania"
5,2019-05-19 14:35:10,sub-03,Pomiędzy,Najbardziej intuicyjne,Najmniej intuicyjne,Pomiędzy,Najwygodniejsza,Najmniej wygodna,Pomiędzy,Najbardziej niezawodna,Najmniej niezawodna,"brak możliwości cofania, nie widać kursora przy przewijaniu w regionach,za krótki czas na podjęcie decyzji o wyborze filmu, brak możliwości wyszukiwania filmów"
6,2019-05-19 19:11:16,sub-04,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najwygodniejsza,Pomiędzy,Najmniej wygodna,Pomiędzy,Najbardziej niezawodna,Najmniej niezawodna,"Przydałby się przycisk do wyłączenia ""klikania"" (pozwalający na swobodne oglądanie ekranu)."
7,2019-05-23 18:24:05,sub-05,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Pomiędzy,Najwygodniejsza,Najmniej wygodna,Pomiędzy,Najbardziej niezawodna,Najmniej niezawodna,"Krótki czas na wybór filmu, przydałby się przycisk blokady filmu "
8,2019-05-24 16:46:23,sub-06,Najbardziej intuicyjne,Najmniej intuicyjne,Pomiędzy,Najwygodniejsza,Najmniej wygodna,Pomiędzy,Najbardziej niezawodna,Najmniej niezawodna,Pomiędzy,
9,2019-05-28 16:11:28,sub-08,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najmniej wygodna,Najwygodniejsza,Pomiędzy,Najmniej niezawodna,Najbardziej niezawodna,Pomiędzy,
10,2019-06-02 10:20:53,sub-10,Najmniej intuicyjne,Pomiędzy,Najbardziej intuicyjne,Pomiędzy,Najwygodniejsza,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,"Interfejsy zacinały i lagowały, duzo czasu zajeło włączenie ich"
11,2019-06-02 12:56:52,sub-11,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Pomiędzy,Najwygodniejsza,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,We wszystkich trzech aplikacjach musiałam patrzeć w nieco inny punkt niż docelowy
12,2019-06-02 14:57:57,sub-12,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najwygodniejsza,Pomiędzy,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,
13,2019-08-02 17:52:23,sub-16,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najwygodniejsza,Najmniej wygodna,Pomiędzy,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,
14,2019-08-14 13:30:17,sub-17,Najbardziej intuicyjne,Pomiędzy,Najmniej intuicyjne,Najwygodniejsza,Pomiędzy,Najmniej wygodna,Najbardziej niezawodna,Pomiędzy,Najmniej niezawodna,przyciski wzrokowe użyteczniejsze od klasycznego sterowania
